TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,STATUS
12:05 AM,AF218,Paris (CDG),Air France,B77W (F-GZNK),Landed 12:48 AM
12:05 AM,6E5383,Hyderabad (HYD),IndiGo,A20N (VT-ITI),Landed 12:23 AM
12:10 AM,G82608,Jaipur (JAI),GoAir,A320 (VT-GOO),Landed 12:57 AM
12:10 AM,6E665,Delhi (DEL),IndiGo,A320 (VT-IHQ),Landed 11:45 PM
12:15 AM,BA139,London (LHR),British Airways (GREAT Festival of Creativity),B772 (G-YMML),Landed 1:21 AM
12:15 AM,UK202,Dubai (DXB),Vistara,A20N (VT-TNK),Landed 12:01 AM
12:15 AM,6E6152,Coimbatore (CJB),IndiGo,A320 (VT-IGS),Landed 12:09 AM
12:20 AM,G8526,Bengaluru (BLR),GoAir,A20N (VT-WJA),Landed 12:04 AM
12:20 AM,SG6442,Goa (GOI),SpiceJet,B737 (VT-SYU),Landed 1:28 AM
12:20 AM,6E387,Chennai (MAA),IndiGo,A20N (VT-IVN),Landed 1:26 AM
12:25 AM,6E1832,Jeddah (JED),IndiGo,A20N (VT-IJK),Landed 1:07 AM
12:30 AM,AI84,Goa (GOI),Air India,A20N (VT-EXG),Landed 12:37 AM
12:30 AM,I5306,Bengaluru (BLR),AirAsia,A320 (VT-GWH),Landed 12:11 AM
12:30 AM,6E961,Kolkata (CCU),IndiGo,A20N (VT-IZD),Landed 12:40 AM
12:35 AM,CX663,Hong Kong (HKG),Cathay Pacific,B77W (B-KPK),Landed 12:53 AM
12:40 AM,KL877,Amsterdam (AMS),KLM,B789 (PH-BHI),Landed 1:01 AM
12:45 AM,6.00E+155,Delhi (DEL),IndiGo,A320 (VT-IEG),Landed 12:44 AM
12:55 AM,SG798,Hyderabad (HYD),SpiceJet (With All Our Heart Livery),B738 (VT-SZK),Landed 1:17 AM
12:55 AM,VS354,London (LHR),Virgin Atlantic,B789 (G-VWHO),Landed 1:19 AM
12:55 AM,6E849,Bengaluru (BLR),IndiGo,A20N (VT-IVS),Landed 1:15 AM
1:00 AM,G8544,Delhi (DEL),GoAir,A20N (VT-WGF),Landed 1:07 AM
1:00 AM,LH756,Frankfurt (FRA),Lufthansa,B744 (D-ABVY),Landed 1:42 AM
1:10 AM,AI863,Delhi (DEL),Air India,A20N (VT-CIO),Landed 1:39 AM
1:10 AM,I5316,Kolkata (CCU),AirAsia,A320 (VT-BOM),Landed 1:10 AM
1:10 AM,KU301,Kuwait City (KWI),Kuwait Airways,A320 (9K-AKE),Landed 12:54 AM
1:15 AM,CA889,Beijing (PEK),Air China,A333 (B-5948),Landed 1:29 AM
1:20 AM,G8380,Goa (GOI),GoAir,A20N (VT-WGL),Landed 1:35 AM
1:30 AM,G8512,Kolkata (CCU),GoAir,A20N (VT-WGW),Landed 1:31 AM
1:30 AM,6.00E+62,Dubai (DXB),IndiGo,A320 (VT-IHY),Landed 1:46 AM
1:35 AM,WE335,Bangkok (BKK),THAI Smile,A320 (HS-TXD),Landed 1:41 AM
1:35 AM,BZ654,Hyderabad (HYD),Blue Dart Aviation,B752 (VT-BDO),Landed 1:44 AM
1:45 AM,MS968,Cairo (CAI),EgyptAir (Egyptian National Football Team Livery),B738 (SU-GEN),Landed 1:55 AM
1:45 AM,SG8287,Delhi (DEL),SpiceJet,B738 (VT-SYZ),Landed 3:05 AM
1:50 AM,G8413,Ahmedabad (AMD),GoAir,A320 (VT-WAK),Landed 3:19 AM
1:50 AM,SG82,Bangkok (BKK),SpiceJet,B738 (VT-SYE),Landed 2:03 AM
1:50 AM,6.00E+263,Hyderabad (HYD),IndiGo,A20N (VT-IVV),Landed 1:51 AM
2:05 AM,BZ102,Bengaluru (BLR),Blue Dart Aviation,B752 (VT-BDQ),Landed 2:10 AM
2:05 AM,IX244,Doha (DOH),Air India Express (Sitar/Tabla Livery),B738 (VT-GHC),Landed 4:21 AM
2:05 AM,I5472,Goa (GOI),AirAsia,A320 (VT-RED),Landed 1:52 AM
2:10 AM,UL141,Colombo (CMB),SriLankan Airlines,A21N (4R-ANF),Landed 2:00 AM
2:15 AM,EK500,Dubai (DXB),Emirates,A388 (A6-EUD),Landed 2:12 AM
2:25 AM,SG7046,Sharjah (SHJ),SpiceJet,-,Canceled
2:30 AM,AI686,Amritsar (ATQ),Air India,B788 (VT-ANT),Landed 1:53 AM
2:30 AM,QR556,Doha (DOH),Qatar Airways,B77W (A7-BEU),Landed 2:05 AM
2:35 AM,ET640,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-AVB),Landed 2:14 AM
2:40 AM,EY206,Abu Dhabi (AUH),Etihad,B77W (A6-ETI),Landed 2:22 AM
2:45 AM,6.00E+82,Muscat (MCT),IndiGo,A320 (VT-IHM),Landed 3:08 AM
3:05 AM,J9401,Kuwait City (KWI),Jazeera Airways,A320 (9K-CAK),Landed 2:34 AM
3:15 AM,IY856,Sana'a (SAH),Yemenia,320,Unknown
4:00 AM,AI130,London (LHR),Air India,B77W (VT-ALR),Landed 6:16 AM
4:00 AM,SG7032,Delhi (DEL),SpiceXpress,B738 (VT-SFF),Landed 4:25 AM
4:10 AM,AI984,Dubai (DXB),Air India,A321 (VT-PPD),Landed 4:12 AM
4:10 AM,BZ201,Delhi (DEL),Blue Dart Aviation,B752 (VT-BDB),Landed 4:21 AM
4:10 AM,FZ445,Dubai (DXB),flydubai,B738 (A6-FEF),Landed 4:05 AM
4:10 AM,WB501,Guangzhou (CAN),RwandAir,332,Unknown
4:15 AM,G9406,Sharjah (SHJ),Air Arabia,A320 (A6-AOM),Landed 4:13 AM
4:15 AM,HM260,Victoria (SEZ),Air Seychelles,A20N (S7-VEV),Landed 4:17 AM
4:15 AM,6E1718,Doha (DOH),IndiGo,A320 (VT-IFI),Landed 4:36 AM
4:20 AM,6E1834,Abu Dhabi (AUH),IndiGo,A21N (VT-IUB),Landed 4:15 AM
4:20 AM,SG7087,Chennai (MAA),SpiceXpress,B737 (VT-SFE),Landed 4:10 AM
4:25 AM,AI986,Muscat (MCT),Air India,A321 (VT-PPW),Landed 8:25 AM
4:25 AM,BZ481,Ahmedabad (AMD),Blue Dart Aviation,B752 (VT-BDM),Landed 4:42 AM
4:30 AM,AI276,Colombo (CMB),Air India,A20N (VT-EXK),Landed 5:44 AM
4:50 AM,G8385,Kannur (CNN),GoAir,A20N (VT-WJP),Landed 4:53 AM
4:50 AM,6.00E+184,Cochin (COK),IndiGo,A20N (VT-IZZ),Landed 4:39 AM
4:55 AM,GF56,Bahrain (BAH),Gulf Air,A321 (A9C-CA),Landed 4:47 AM
4:55 AM,G82501,Delhi (DEL),GoAir,A20N (VT-WJI),Landed 5:09 AM
5:10 AM,TK720,Istanbul (IST),Turkish Airlines,B77W (TC-LKA),Landed 4:45 AM
5:10 AM,6E1826,Riyadh (RUH),IndiGo,A320 (VT-IFQ),Landed 5:14 AM
5:25 AM,AI34,Goa (GOI),Air India,A320 (VT-EXE),Landed 6:17 AM
5:25 AM,6E428,Hyderabad (HYD),IndiGo,A20N (VT-ITL),Landed 5:11 AM
5:35 AM,KQ204,Nairobi (NBO),Kenya Airways,B738 (5Y-CYC),Landed 6:45 AM
5:35 AM,SV968,Riyadh (RUH),Saudia Cargo,B744 (TC-ACG),Landed 5:07 AM
5:40 AM,SL218,Bangkok (DMK),Thai Lion Air,B738 (HS-LUH),Landed 6:21 AM
5:45 AM,G830,Muscat (MCT),GoAir,A20N (VT-WJB),Landed 5:32 AM
5:50 AM,AI946,Abu Dhabi (AUH),Air India,A20N (VT-EXI),Landed 6:00 AM
6:15 AM,AI349,Delhi (DEL),Air India,788,Unknown
6:15 AM,KU303,Kuwait City (KWI),Kuwait Airways,A320 (9K-AKK),Landed 5:35 AM
6:20 AM,6.00E+235,Hyderabad (HYD),IndiGo,A20N (VT-ITG),Landed 6:04 AM
6:25 AM,SG14,Dubai (DXB),SpiceJet,B738 (VT-SZJ),Unknown
6:30 AM,6E6789,Ahmedabad (AMD),IndiGo,A320 (VT-IKB),Landed 6:39 AM
6:40 AM,SG636,Ahmedabad (AMD),SpiceJet,B738 (VT-SXA),Landed 6:30 AM
6:40 AM,SG611,Goa (GOI),SpiceJet,B737 (VT-SLB),Landed 6:13 AM
6:40 AM,WY201,Muscat (MCT),Oman Air,B788 (A4O-SB),Landed 6:11 AM
6:40 AM,6E456,Bengaluru (BLR),IndiGo,A20N (VT-IZV),Landed 6:25 AM
6:45 AM,6E5385,Nagpur (NAG),IndiGo,A20N (VT-IVZ),Landed 6:07 AM
6:50 AM,G8302,Chennai (MAA),GoAir,A320 (VT-GOP),Landed 6:51 AM
6:55 AM,IX252,Sharjah (SHJ),Air India Express (Red Fort/Gwalior Fort Livery),B738 (VT-AXJ),Landed 6:57 AM
6:55 AM,SG69,Jeddah (JED),SpiceJet,B738 (VT-SLN),Landed 8:35 AM
7:00 AM,AI932,Jeddah (JED),Air India,B77W (VT-ALQ),Landed 6:48 AM
7:00 AM,SG20,Riyadh (RUH),SpiceJet,B738 (VT-SZM),Landed 8:05 AM
7:05 AM,SG704,Hyderabad (HYD),Corendon Airlines,B738 (TC-TJR),Landed 6:47 AM
7:05 AM,6.00E+171,Delhi (DEL),IndiGo,A20N (VT-IZH),Landed 6:57 AM
7:05 AM,6.00E+218,Jaipur (JAI),IndiGo,A320 (VT-IGH),Landed 6:36 AM
7:10 AM,I5303,Bengaluru (BLR),AirAsia,A320 (VT-MLE),Landed 7:07 AM
7:10 AM,SG6351,Bengaluru (BLR),SpiceJet,B738 (VT-SYX),Landed 6:59 AM
7:15 AM,AI620,Hyderabad (HYD),Air India,A319 (VT-SCR),Landed 7:08 AM
7:15 AM,ET610,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-AVD),Landed 6:27 AM
7:15 AM,6E654,Chennai (MAA),IndiGo,A320 (VT-INT),Landed 7:06 AM
7:20 AM,G8418,Bengaluru (BLR),GoAir,A20N (VT-WGJ),Landed 7:21 AM
7:20 AM,6E5322,Bengaluru (BLR),IndiGo,A20N (VT-IVU),Landed 7:03 AM
7:25 AM,AI30,Ahmedabad (AMD),Air India (Star Alliance Livery),B788 (VT-ANU),Landed 7:41 AM
7:25 AM,EY212,Abu Dhabi (AUH),Etihad,A320 (A6-EIY),Landed 7:11 AM
7:40 AM,SG678,Chennai (MAA),SpiceJet,B738 (VT-SYY),Landed 7:30 AM
7:40 AM,SG6475,Cochin (COK),SpiceJet,B738 (VT-SYF),Landed 7:34 AM
7:45 AM,6E5335,Delhi (DEL),IndiGo,A320 (VT-IGV),Landed 7:30 AM
7:50 AM,6E5324,Bengaluru (BLR),IndiGo,A20N (VT-IJC),Landed 7:37 AM
7:55 AM,G8381,Goa (GOI),GoAir,A20N (VT-WGW),Landed 7:32 AM
7:55 AM,I5314,Delhi (DEL),AirAsia,A320 (VT-SIN),Landed 7:47 AM
7:55 AM,6E5372,Vadodara (BDQ),IndiGo,A20N (VT-IVS),Landed 8:24 AM
7:55 AM,9I650,Surat (STV),Alliance Air,ATR,Unknown
8:10 AM,AI990,Kuwait City (KWI),Air India,A20N (VT-EXT),Landed 9:04 AM
8:15 AM,UK858,Bengaluru (BLR),Vistara,B738 (VT-TGI),Landed 8:10 AM
8:15 AM,6.00E+247,Hyderabad (HYD),IndiGo,A320 (VT-IHS),Landed 8:20 AM
8:20 AM,SV740,Riyadh (RUH),Saudia,A333 (HZ-AQ11),Landed 7:54 AM
8:25 AM,AI341,Bangkok (BKK),Air India,A20N (VT-CIQ),Landed 8:46 AM
8:25 AM,EK504,Dubai (DXB),Emirates,B77W (A6-ECI),Landed 8:02 AM
8:30 AM,6E318,Kolkata (CCU),IndiGo,A20N (VT-IZL),Landed 8:02 AM
8:35 AM,AI569,Chennai (MAA),Air India,A20N (VT-CIG),Landed 9:08 AM
8:35 AM,AI640,Bengaluru (BLR),Air India,A20N (VT-EXU),Landed 8:13 AM
8:35 AM,SG6289,Chennai (MAA),SpiceJet,B738 (VT-SYI),Landed 8:14 AM
8:35 AM,SG8153,Delhi (DEL),SpiceJet,B737 (VT-SYO),Landed 7:57 AM
8:40 AM,SG6363,Hyderabad (HYD),SpiceJet,B738 (VT-SLJ),Landed 8:38 AM
8:40 AM,6E495,Chennai (MAA),IndiGo,A20N (VT-IVC),Landed 8:24 AM
8:40 AM,6E655,Indore (IDR),IndiGo,A21N (VT-IUL),Landed 8:35 AM
8:40 AM,6E993,Delhi (DEL),IndiGo,A320 (VT-IEU),Landed 8:41 AM
8:45 AM,AI912,Dubai (DXB),Air India,B788 (VT-ANQ),Landed 8:13 AM
8:45 AM,UK923,Delhi (DEL),Vistara,A20N (VT-TNF),Landed 8:59 AM
8:50 AM,SG2763,Surat (STV),SpiceJet,DH8D (VT-SUK),Unknown
8:50 AM,SG6425,Kolkata (CCU),SpiceJet,B738 (VT-SGQ),Landed 8:49 AM
8:50 AM,6E424,Bengaluru (BLR),IndiGo,A20N (VT-IJJ),Landed 8:46 AM
8:50 AM,6E1769,Dubai (DXB),IndiGo,A320 (VT-INU),Landed 9:16 AM
8:55 AM,6E6834,Ahmedabad (AMD),IndiGo,A320 (VT-IEO),Landed 8:37 AM
9:00 AM,UK828,Chennai (MAA),Vistara,B738 (VT-TGG),Landed 8:54 AM
9:05 AM,AI582,Kozhikode (CCJ),Air India,A321 (VT-PPK),Landed 8:57 AM
9:05 AM,AI887,Delhi (DEL),Air india (Star Alliance Livery),A20N (VT-EXO),Landed 9:26 AM
9:10 AM,G8530,Delhi (DEL),GoAir,A20N (VT-WJD),Landed 9:10 AM
9:10 AM,G82609,Lucknow (LKO),GoAir,A20N (VT-WGK),Landed 9:06 AM
9:15 AM,6E568,Vadodara (BDQ),IndiGo,A320 (VT-IHY),Landed 8:52 AM
9:15 AM,6E5309,Chennai (MAA),IndiGo,A320 (VT-IFD),Landed 9:04 AM
9:20 AM,AI628,Nagpur (NAG),Air India,A321 (VT-PPU),Landed 9:30 AM
9:20 AM,SG8701,Delhi (DEL),SpiceJet,B738 (VT-SYW),Landed 9:39 AM
9:35 AM,SG438,Bengaluru (BLR),SpiceJet,B738 (VT-SZI),Landed 9:36 AM
9:40 AM,G8348,Cochin (COK),GoAir,A20N (VT-WJA),Landed 9:22 AM
9:40 AM,6.00E+167,Delhi (DEL),IndiGo,A20N (VT-IVT),Landed 9:35 AM
9:45 AM,SG6279,Jaipur (JAI),SpiceJet,B738 (VT-SXC),Landed 9:47 AM
9:50 AM,6E453,Coimbatore (CJB),IndiGo,A320 (VT-IFS),Landed 9:29 AM
9:50 AM,6E496,Kolkata (CCU),IndiGo,A20N (VT-IJV),Landed 9:53 AM
9:55 AM,G8395,Bengaluru (BLR),GoAir,A20N (VT-WGF),Landed 9:50 AM
9:55 AM,UK862,Goa (GOI),Vistara,B738 (VT-TGA),Landed 9:55 AM
9:55 AM,UK874,Hyderabad (HYD),Vistara,A20N (VT-TNR),Landed 9:36 AM
9:55 AM,6.00E+196,Bengaluru (BLR),IndiGo,A20N (VT-IJE),Landed 9:42 AM
10:05 AM,6.00E+298,Cochin (COK),IndiGo,A320 (VT-IEJ),Landed 9:58 AM
10:05 AM,6E685,Lucknow (LKO),IndiGo,A20N (VT-ITY),Landed 10:05 AM
10:10 AM,AI614,Ahmedabad (AMD),Air India,A20N (VT-CIP),Landed 10:35 AM
10:10 AM,G8334,Delhi (DEL),GoAir,A320 (VT-WAL),Landed 10:22 AM
10:15 AM,AI665,Delhi (DEL),Air India,A321 (VT-PPM),Landed 11:01 AM
10:15 AM,AI682,Cochin (COK),Air India,A20N (VT-CIO),Landed 10:20 AM
10:15 AM,6E1708,Doha (DOH),IndiGo,A21N (VT-IUF),Landed 10:48 AM
10:20 AM,AI616,Hyderabad (HYD),Air India,A319 (VT-SCN),Landed 10:33 AM
10:20 AM,EY932,Shanghai (PVG),Etihad Airways,77X,Unknown
10:20 AM,6E5387,Indore (IDR),IndiGo,A20N (VT-IVN),Landed 10:01 AM
10:30 AM,6.00E+214,Ahmedabad (AMD),IndiGo,A320 (VT-IKB),Landed 10:25 AM
10:35 AM,AI604,Bengaluru (BLR),Air India,A20N (VT-EXK),Landed 11:14 AM
10:35 AM,AI684,Goa (GOI),Air India,A20N (VT-EXM),Landed 10:58 AM
10:35 AM,SG8723,Delhi (DEL),SpiceJet,B738 (VT-SYD),Landed 11:13 AM
10:35 AM,SQ422,Singapore (SIN),Singapore Airlines,A359 (9V-SMS),Landed 10:17 AM
10:40 AM,G8389,Jaipur (JAI),GoAir,A20N (VT-WGL),Landed 10:09 AM
10:40 AM,6.00E+179,Delhi (DEL),IndiGo,A320 (VT-IHV),Landed 10:43 AM
10:45 AM,G8459,Ahmedabad (AMD),GoAir,A320 (VT-GOP),Landed 10:12 AM
10:45 AM,SG6432,Hyderabad (HYD),SpiceJet,B737 (VT-SYU),Landed 10:17 AM
10:50 AM,G8141,Nagpur (NAG),GoAir,A320 (VT-GOS),Landed 10:46 AM
10:50 AM,SG488,Kolkata (CCU),SpiceJet,B738 (VT-SYA),Landed 10:40 AM
11:00 AM,6E782,Chennai (MAA),IndiGo,A320 (VT-IHM),Landed 10:30 AM
11:00 AM,6E5302,Bhopal (BHO),IndiGo,A20N (VT-IVZ),Landed 10:38 AM
11:00 AM,MH6244,Delhi (DEL),Malaysia Airlines,33X,Unknown
11:05 AM,6E984,Ahmedabad (AMD),IndiGo,A320 (VT-IHU),Landed 10:28 AM
11:05 AM,6E5316,Ranchi (IXR),IndiGo,A20N (VT-IZP),Landed 11:01 AM
11:10 AM,AI678,Delhi (DEL),Air India,A320 (VT-EDF),Landed 11:51 AM
11:10 AM,UK963,Delhi (DEL),Vistara,A20N (VT-TNJ),Landed 11:36 AM
11:15 AM,BA199,London (LHR),British Airways,B772 (G-YMMA),Landed 11:21 AM
11:15 AM,6E375,Bhubaneswar (BBI),IndiGo,A20N (VT-IZU),Landed 11:04 AM
11:15 AM,6E5379,Kolkata (CCU),IndiGo,A20N (VT-IJK),Landed 11:24 AM
11:20 AM,AI966,Hyderabad (HYD),Air India,B744 (VT-EVA),Landed 4:33 PM
11:20 AM,UK852,Bengaluru (BLR),Vistara,B738 (VT-TGD),Landed 11:27 AM
11:20 AM,6E734,Bengaluru (BLR),IndiGo,A20N (VT-IJU),Landed 11:08 AM
11:25 AM,6E748,Udaipur (UDR),IndiGo,A320 (VT-IFP),Landed 10:50 AM
11:25 AM,9I626,Bhuj (BHJ),Alliance Air,AT76 (VT-RKG),Landed 11:17 AM
11:30 AM,6E965,Jaipur (JAI),IndiGo,A20N (VT-IVW),Landed 11:25 AM
11:35 AM,G8465,Port Blair (IXZ),GoAir,A320 (VT-GOO),Landed 11:08 AM
11:35 AM,6E608,Hyderabad (HYD),IndiGo,A320 (VT-IAP),Landed 11:31 AM
11:40 AM,G822,Phuket (HKT),GoAir,A20N (VT-WJK),Landed 11:39 AM
11:40 AM,UK927,Delhi (DEL),Vistara,A20N (VT-TNU),Landed 11:54 AM
11:40 AM,6.00E+181,Delhi (DEL),IndiGo,A320 (VT-IDO),Landed 12:49 PM
11:45 AM,SG6290,Dehradun (DED),SpiceJet,B738 (VT-SXB),Landed 11:46 AM
12:05 PM,6E334,Hyderabad (HYD),IndiGo,A320 (VT-IDL),Landed 12:00 PM
12:05 PM,6E5326,Nagpur (NAG),IndiGo,A20N (VT-IJC),Landed 11:49 AM
12:05 PM,6E6219,Guwahati (GAU),IndiGo,A20N (VT-IVO),Landed 11:46 AM
12:10 PM,BA135,London (LHR),British Airways,B772 (G-YMMH),Landed 12:13 PM
12:10 PM,SG242,Kolkata (CCU),SpiceJet,B738 (VT-SYJ),Landed 12:27 PM
12:10 PM,6E346,Bengaluru (BLR),IndiGo,A20N (VT-ITA),Landed 11:58 AM
12:15 PM,AI865,Delhi (DEL),Air India,A20N (VT-EXI),Landed 1:17 PM
12:20 PM,AI676,Kolkata (CCU),Air India,A20N (VT-EXG),Landed 12:40 PM
12:20 PM,6E5339,Delhi (DEL),IndiGo,A20N (VT-IZZ),Landed 12:23 PM
12:30 PM,6E711,Varanasi (VNS),IndiGo,A20N (VT-ITB),Landed 12:14 PM
12:35 PM,I5304,Bengaluru (BLR),AirAsia,A320 (VT-MLE),Landed 12:35 PM
12:35 PM,UK995,Delhi (DEL),Vistara,A20N (VT-TNK),Landed 12:30 PM
12:35 PM,6.00E+223,Delhi (DEL),IndiGo,A320 (VT-IHC),Landed 12:39 PM
12:40 PM,SG6281,Jammu (IXJ),SpiceJet,B737 (VT-SLP),Landed 4:22 PM
12:40 PM,2T517,Nanded (NDC),Trujet,AT75 (VT-TMM),Landed 12:07 PM
12:45 PM,SG8911,Delhi (DEL),SpiceJet,B738 (VT-SGZ),Landed 1:49 PM
12:50 PM,G8338,Delhi (DEL),GoAir,A320 (VT-GON),Landed 12:33 PM
12:55 PM,G8311,Goa (GOI),GoAir,A20N (VT-WGK),Landed 12:44 PM
12:55 PM,SG6353,Thiruvananthapuram (TRV),SpiceJet,B738 (VT-SYX),Landed 1:12 PM
1:00 PM,AI144,New York (EWR),Air India,B77W (VT-ALL),Landed 12:17 PM
1:00 PM,6.00E+176,Thiruvananthapuram (TRV),IndiGo,A320 (VT-IED),Landed 12:51 PM
1:05 PM,AI626,Lucknow (LKO),Air India,A319 (VT-SCR),Landed 12:49 PM
1:05 PM,OG111,Belgaum (IXG),Star Air,E145 (VT-GSE),Landed 12:44 PM
1:05 PM,UK772,Kolkata (CCU),Vistara,B738 (VT-TGB),Landed 1:04 PM
1:10 PM,WY203,Muscat (MCT),Oman Air,B788 (A4O-SA),Landed 1:08 PM
1:20 PM,SG8164,Jodhpur (JDH),SpiceJet,B738 (VT-SYI),Landed 1:10 PM
1:20 PM,UK864,Bengaluru (BLR),Vistara,B738 (VT-TGI),Landed 12:57 PM
1:20 PM,6E5346,Goa (GOI),IndiGo,A320 (VT-INU),Landed 1:01 PM
1:25 PM,SG480,Jaisalmer (JSA),SpiceJet,B737 (VT-SYO),Landed 1:27 PM
1:35 PM,AI606,Aurangabad (IXU),Air India,A319 (VT-SCP),Landed 12:30 PM
1:35 PM,SG2548,Belgaum (IXG),SpiceJet,DH8D (VT-SQE),Landed 1:20 PM
1:35 PM,TK6564,Istanbul (IST),AirACT,B744 (TC-ACR),Unknown
